"qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","FQ2IWe src","ah5Ghc","UsdlK","e4rVHe"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Starbucks Coffee","4.2","(2,830)","Cafe","·","Av. Ricardo Lyon 172, Local 1","Iconic coffeehouse chain","Closed","· Opens 7:30 AM","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmyKatG2iW2FpYX8nFmxDEh_Z4eECUnnC5RYyH-6iXiy1KFtY0rBzcFQEJPr8M-X3k_pmvKCGuli6KwivJ8AufEDSextmngAJbgXb60uSg0ak3x4E9W83zPi6Q0b0xv15MCKurM=w163-h92-k-no","""One of my favourite Starbucks.""","",""
"Miniso","4.2","(258)","General store","·","entre calles Providencia y Nueva - Av. Ricardo Lyon 57","","Closed","· Opens 10 AM","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkoMfV7ZX75jAyNmmQB90PDHD5nRLjnwNPFFiAw_obAau0ktzrYKXnUKIcW8HFg0BY_ajnIruxSYiQ4vE0gFISf-fJRcORUqmtlb1vw_VNW54LZmb2jXp04DkxENHHJWZktrWqx0w=w80-h106-k-no","Delivery","",""
"Fumetas Store","5.0","(230)","Store","·","Av. Providencia 2198, Loc 6 (Piso-1","·","Closed","· Opens 11 AM","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmlV7UoF5XtbJrTHgWOph-ARhV6OWWEeaAiDXv6vHMT1r-qmVApddhGGafEe05901BVbyQRZ_uAwN39jOEAmV3AvjpgYprDxBJtjcnduAPKMsMHtrwZlMsExJOoIpn9JyvL-AnK_A=w80-h106-k-no","In-store shopping","9 3931 1563",""
"Aqua Piercing - Los Leones | Piercing - Tatuajes","4.9","(230)","Tattoo and piercing shop","·","Av. Providencia 2198, Loc 10","","Closed","· Opens 11:30 AM","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm_9OuXyttZcut1vOisZUgwJXJpmmscruveZpqlOpwWqPU9CcQn2V-EalSh_GJKg-RBtB33mOOqVBbjaFsHk7-yfI6y9i5bwwi6YrtqlrO2vP7-bgFxQ4qwILWa9BSNAfmlx_c=w80-h142-k-no","","",""
"Superhigh","4.9","(198)","Shopping mall","·","Av. Providencia 2198, Loc 73","·","Closed","· Opens 11 AM","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlZQaPe1MG5v5dKdP5TROyG3jJW5wSfytkaAGmTqmMTfHDFlmd-wTfkhAi1Zl0YgtW7Cd4h369Oxp-IVJzyXyi0teZCyACOfyf7G-9oEwrZ_PotrSVt4sCaCym4cjRoaY7EDERc=w80-h100-k-no","In-store shopping","9 5119 2521",""
"Bikeman","4.7","(155)","Bicycle store","·","Av. Providencia 2198, Loc 67","·","Closed","· Opens 11 AM","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmsLL_hZIryi34HugxVW9lBUxuP4Y4mDHOnv2AbiGLNU2ryV4GOpr9ncfePv66fMLHRfsBL9v0w5kb_Xlng-qjvG_5Wi3G_mIXFP3B0l69nQTvc4C2k_jVIQGV0FvmJSwpcAwaX8Q=w80-h142-k-no","Delivery","9 9352 8016",""
"House Tattoo Rock","4.8","(136)","Tattoo and piercing shop","·","Av. Providencia 2198","","Closed","· Opens 10:30 AM","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlazJuZTk9VteyPRJAd98WO5G_LmQWcQice1IQEsFUOgdA77w8IZ9NCZW6fNxjJpGFCHVhNyKTZYc9Z48YYTCjPrvNShACQcE42xfZxQwt8oD_GOwaFmICD5kPH2KiUM93UMf9B=w122-h92-k-no","","",""
"EVOLUTION TATTOO CHILE","5.0","(133)","Tattoo supply store","·","Dr. Luis Middleton 1642","·","Closed","· Opens 10 AM","https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnlfueVywm2FPxjhyw8qa3AvYN-Q2OE3UJtuhvIge5gaR6xwb1Ku8xLPoGx2C91Jj3AzPxe9HTeWKECGkUBR4hBBPM9HKl2cD82PtyKubhseZTvMa_R4xjOKZaWSaJ-AUJr5jH_RHo-DI4=w134-h92-k-no","","9 8446 6050",""
